date,league,season,referee,odds_over25,odds_under25,squad,opponent,venue,goals_for,goals_against,ht_goals_for,ht_goals_against,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,opp_shots,opp_shots_on_target,opp_corners,opp_fouls,odds_win,odds_draw,odds_loss,result,shot_accuracy,shot_conversion,opp_shot_accuracy,shot_dominance,corner_dominance,discipline_index,foul_rate,second_half_goals,clean_sheet,implied_win_prob,implied_draw_prob,implied_loss_prob,over25_implied,match_points,rolling_form_5,rolling_goals_5,rolling_conceded_5
,SPA-La Liga,2015-2016,,,,Celta,Ath Madrid,Away,0,2,0,0,7,4,4,16,5,0,12,5,4,16,,,,L,0.5714285714285714,0.0,0.4166666666666667,0.3684210526315789,0.5,50,16,0,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.0,1.2
,SPA-La Liga,2015-2016,,,,Eibar,Granada,Away,3,1,2,0,10,4,5,23,6,0,12,6,6,5,,,,W,0.4,0.3,0.5,0.45454545454545453,0.45454545454545453,60,23,1,0,0.35359109538829203,,,0.5052356020942408,3,3.0,3.0,1.0
,SPA-La Liga,2015-2016,,,,Eibar,Ath Bilbao,Home,2,0,1,0,9,8,11,14,2,0,9,1,4,13,,,,W,0.8888888888888888,0.2222222222222222,0.1111111111111111,0.5,0.7333333333333333,20,14,1,1,0.35359109538829203,,,0.5052356020942408,3,3.0,2.5,0.5
,SPA-La Liga,2015-2016,,,,Eibar,Malaga,Away,0,0,0,0,7,0,3,13,4,0,10,4,7,11,,,,D,0.0,0.0,0.4,0.4117647058823529,0.3,40,13,0,1,0.35359109538829203,,,0.5052356020942408,1,2.3333333333333335,1.6666666666666667,0.3333333333333333
,SPA-La Liga,2015-2016,,,,Eibar,Ath Madrid,Home,0,2,0,0,9,3,1,13,2,0,14,6,4,7,,,,L,0.3333333333333333,0.0,0.42857142857142855,0.391304347826087,0.2,20,13,0,0,0.35359109538829203,,,0.5052356020942408,0,1.75,1.25,0.75
,SPA-La Liga,2015-2016,,,,Eibar,Levante,Away,2,2,1,0,10,4,7,23,5,0,12,2,4,13,,,,D,0.4,0.2,0.16666666666666666,0.45454545454545453,0.6363636363636364,50,23,1,0,0.35359109538829203,,,0.5052356020942408,1,1.6,1.4,1.0
,SPA-La Liga,2015-2016,,,,Eibar,Celta,Home,1,1,1,0,10,3,4,25,5,0,9,2,4,16,,,,D,0.3,0.1,0.2222222222222222,0.5263157894736842,0.5,50,25,0,0,0.35359109538829203,,,0.5052356020942408,1,1.2,1.0,1.0
,SPA-La Liga,2015-2016,,,,Eibar,Las Palmas,Away,2,0,1,0,9,4,2,16,2,0,18,4,3,5,,,,W,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4,20,16,1,1,0.35359109538829203,,,0.5052356020942408,3,1.2,1.0,1.0
,SPA-La Liga,2015-2016,,,,Eibar,Sevilla,Home,1,1,1,0,14,4,2,16,3,0,15,5,5,9,,,,D,0.2857142857142857,0.07142857142857142,0.3333333333333333,0.4827586206896552,0.2857142857142857,30,16,0,0,0.35359109538829203,,,0.5052356020942408,1,1.2,1.2,1.2
,SPA-La Liga,2015-2016,,,,Eibar,Barcelona,Away,1,3,1,1,7,5,2,18,5,0,14,5,6,14,,,,L,0.7142857142857143,0.14285714285714285,0.35714285714285715,0.3333333333333333,0.25,50,18,0,0,0.35359109538829203,,,0.5052356020942408,0,1.2,1.4,1.4
